Hotelling T2         	sum-squared residuals  	
 1.027536562502E+01  	 1.067635064353E+07    	
 3.645270378004E+01  	 9.059633165942E+06    	
 1.375234744289E+00  	 3.016455269618E+06    	
 1.985727071988E+00  	 8.041995357181E+06    	
 1.026596299002E+00  	 3.774092627358E+06    	
 9.258856853801E-02  	 4.339321931207E+05    	
 6.943028920142E-05  	 1.347755012904E+03    	
 8.205501778812E+01  	 1.031257798589E+08    	
 3.038971867232E-01  	 1.934685281016E+06    	
 1.214564461846E+01  	 5.985218858861E+07    	
 2.797447254151E+01  	 2.570754028700E+07    	
 6.214516944828E-01  	 8.016325891922E+05    	
 1.054337426548E+00  	 2.363957114175E+06    	
 2.129444386420E-01  	 1.826027485626E+06    	
 5.764478905593E-01  	 4.281976266230E+06    	
 1.487604089172E-03  	 1.642904782613E+04    	
 4.467262488339E-01  	 4.343795394679E+05    	
 6.715060237219E+01  	 7.769208554049E+07    	
 2.428818738889E-01  	 3.712456388910E+05    	
 9.221513894082E-01  	 5.779431039043E+06    	
 1.290777218448E-02  	 8.529289983430E+04    	
 4.929958261903E-01  	 2.334917458511E+06    	
 3.864885402473E-01  	 7.650138422773E+05    	
 1.341347796930E-01  	 2.438209944420E+05    	
 2.457263434467E-02  	 5.839555381992E+04    	
 4.229916300959E+01  	 1.006072448371E+07    	
 3.503637795308E+01  	 7.830909265288E+07    	
 1.165575953530E+01  	 9.888374794759E+06    	
 1.470564880574E+02  	 6.713129739377E+07    	
 3.843761581766E-01  	 1.724835146285E+06    	
 1.849680518376E+00  	 1.521042430730E+06    	
 3.328512450093E+01  	 5.420038568351E+07    	
 3.916371203777E+01  	 6.879814693330E+07    	
 1.631618692859E+00  	 1.734043251778E+06    	
 4.512691745573E-02  	 4.075336290023E+04    	
 2.261042185049E-01  	 3.930757867100E+05    	
 7.291360929268E-01  	 2.021854785209E+06    	
 2.106211727713E+01  	 1.200317532899E+07    	
 2.608816615067E+00  	 1.497682784381E+06    	
 1.083064751451E+01  	 1.098972912154E+07    	
 4.811558161639E-03  	 8.895758997870E+04    	
 4.164328856705E-04  	 7.887553929913E+03    	
 6.615385151160E+01  	 1.823541966379E+07    	
 4.789412621222E+00  	 3.044076885852E+07    	
 1.964534072529E+01  	 1.433057591868E+08    	
 7.980604978656E+00  	 1.075255063724E+07    	
 8.916161947924E-02  	 1.491867288625E+05    	
 4.756392698804E-01  	 1.297782497257E+06    	
 2.160018048691E-01  	 8.995113096518E+05    	
 3.577430772456E-01  	 2.174825136518E+06    	
 4.435382684765E-04  	 2.722114859969E+03    	
 1.528948341769E+00  	 1.803109624544E+06    	
 4.431819889068E+00  	 3.862778422077E+07    	
 4.013151617826E-01  	 9.994380789943E+05    	
 3.308435312825E+01  	 4.858691772060E+07    	
 6.667771044390E+00  	 9.014544899927E+06    	
 7.558906994807E-01  	 1.561640183053E+06    	
 2.717729457061E-06  	 5.236643583404E+01    	
 1.715261353011E-01  	 2.628110571874E+05    	
 3.045999252074E-02  	 2.411730008548E+04    	
 6.698696307295E-03  	 1.565151340491E+04    	
 3.520573401034E-01  	 1.856275588398E+06    	
 4.478804789287E+01  	 9.104203425633E+07    	
 5.852235680244E+00  	 3.233219796353E+07    	
 2.086472328178E-01  	 2.131966924980E+06    	
 8.197216841188E-01  	 8.773740308334E+06    	
 3.292329675181E-03  	 1.994731775464E+04    	
 8.344338587688E-03  	 1.129086105013E+05    	
 4.260173490042E-01  	 1.696673976750E+07    	
 2.625192909126E-02  	 3.335178437083E+05    	
 4.256924402441E+00  	 2.733946428372E+06    	
 8.938951195430E-02  	 6.199350279517E+05    	
 4.471656388862E+01  	 8.893473450648E+07    	
 2.380162374246E-01  	 2.345132018953E+06    	
 2.339887274320E-01  	 2.579524801609E+05    	
 9.533557323197E-02  	 4.697110737390E+04    	
 6.087501925826E-01  	 3.242059057853E+05    	
 2.136763791010E-04  	 1.386241852356E+04    	
 2.010832218285E+00  	 7.990431470360E+06    	
 1.992573393332E-03  	 1.376670227631E+04    	
 1.266544344867E-01  	 2.017691036702E+05    	
 6.235009519020E+00  	 7.910598341369E+06    	
 6.545898153254E-04  	 1.132699194293E+04    	
 4.848467799546E-01  	 2.195613851196E+06    	
 1.140043172176E+02  	 5.343845514336E+07    	
 1.098000125992E-01  	 4.164032066948E+06    	
 2.023381667472E+01  	 1.369129764653E+07    	
 1.061509377595E+01  	 1.227820968490E+07    	
 1.490436792450E+01  	 9.170903580508E+06    	
 2.715209342051E+00  	 1.382368965996E+07    	
 1.435122076232E-01  	 1.486481570483E+06    	
 6.106602670278E-03  	 2.341102671570E+04    	
 1.574128052308E-04  	 2.957071511746E+03    	
 7.623041608777E+00  	 1.212523869696E+07    	
 2.469076981331E-01  	 7.697672137101E+05    	
 6.039780939413E-01  	 1.264114698336E+06    	
 3.274529602009E+00  	 7.156923540887E+06    	
 1.537851953138E-03  	 9.600357467819E+03    	
 1.349944227155E-01  	 2.367985242440E+06    	
 3.089904039757E-01  	 2.469023133886E+06    	
 1.153388847012E-02  	 8.434864223831E+04    	
 1.330490006920E-05  	 9.355836339594E+02    	
 6.341822242965E-04  	 1.562483363078E+04    	
 1.128528969551E-05  	 4.278463135625E+02    	
 5.753351877799E+00  	 7.906373080217E+06    	
 4.836277707928E-01  	 1.121433052641E+06    	
 8.139984322492E-01  	 1.040961381611E+06    	
 8.511121972284E-04  	 3.737196671313E+04    	
 3.688358412681E+00  	 1.747369897941E+07    	
 8.871027247159E-01  	 9.262617592333E+06    	
 3.645903125202E+00  	 3.686991688034E+07    	
 6.782264825990E-03  	 4.433004341790E+04    	
 9.224729856793E-05  	 2.653164012304E+03    	
 9.928508327258E-01  	 1.839358611121E+06    	
 2.879112800305E-01  	 2.145099613424E+06    	
 6.184396628882E-01  	 3.054420921174E+06    	
 4.162122422310E-02  	 8.141086149381E+05    	
 2.134785296012E-01  	 1.373880358988E+05    	
 6.354134207671E+00  	 8.096895454963E+06    	
 4.443375235639E+00  	 8.108334370814E+06    	
 1.099571108587E+00  	 2.927678886633E+06    	
 4.701359257944E-04  	 7.656653092902E+03    	
 2.506278346022E+00  	 6.177388183422E+06    	
 1.279232816456E-01  	 3.953291022702E+05    	
 5.026265002885E+00  	 6.543844821407E+06    	
 4.702340195373E-02  	 3.587948943954E+05    	
 6.866670723996E-03  	 3.794287865384E+04    	
 1.176943000966E+01  	 6.649278387833E+07    	
 9.500715891283E+00  	 2.682000602341E+06    	
 1.015349453608E+00  	 1.905478228464E+06    	
 1.859258603173E+00  	 5.242717983745E+06    	
 9.642784268893E-01  	 9.254250154105E+06    	
 5.035725385735E+00  	 8.018370159066E+06    	
 5.462050553065E-01  	 5.919703138777E+05    	
 1.926867012580E+00  	 2.622099696852E+06    	
 7.930560040093E-02  	 2.124547709156E+05    	
 1.513839876526E-04  	 6.324953371859E+03    	
 6.708659184072E-04  	 1.026460939232E+04    	
 3.046972510619E-01  	 1.516131832966E+06    	
 3.291349005318E-05  	 7.629394927208E+02    	
 3.594585964809E+00  	 2.612638937163E+06    	
 2.435503824753E-01  	 7.520535191748E+04    	
 2.818535831113E-02  	 7.171137044854E+05    	
 1.907017295348E-04  	 3.566023448421E+03    	
 7.541761514392E-01  	 3.968997723986E+06    	
 1.976301387615E+00  	 1.001809022347E+07    	
 3.074525615716E-04  	 3.486483687857E+03    	
 6.146155514024E-04  	 7.629603575992E+03    	
 8.972003102979E-01  	 4.193605072271E+06    	
 6.426527533342E-01  	 4.740466516786E+05    	
 8.982087068724E-01  	 2.154872405763E+06    	
 1.937887889023E+00  	 6.452613715623E+06    	
 5.469669237890E+00  	 4.212970979826E+06    	
 5.717670048552E-01  	 3.984103910794E+06    	
 9.064605611886E-06  	 1.635417716574E+02    	
 2.770029749381E+00  	 8.519877350715E+06    	
 2.840232934931E+00  	 2.727490523620E+06    	
 3.282471681673E+00  	 6.998971128960E+06    	
 1.346934212364E-01  	 9.377146615885E+05    	
 7.195881949633E-01  	 9.633396092307E+05    	
 9.170472722799E+01  	 4.152203811503E+07    	
 1.007678075147E+00  	 2.016077338862E+06    	
 7.172762155285E+01  	 2.439295334840E+07    	
 1.331716929926E+01  	 3.305241993988E+06    	
 1.220739741458E-04  	 5.332983266725E+03    	
 1.909838653073E-01  	 1.006693800840E+06    	
 4.207440084303E-02  	 3.050594614807E+04    	
 3.545389355058E-02  	 1.152738853347E+05    	
